D,chi2,delta_chi2,objective,tile_id,weight_mode
3.162277660168379e-06,0.8441900986664983,0.06523574168009005,weighted_least_squares,4,sigma
4.216965034285822e-06,0.8440999585587912,0.06514560157238292,weighted_least_squares,4,sigma
5.623413251903491e-06,0.8439798478797087,0.06502549089330045,weighted_least_squares,4,sigma
7.498942093324558e-06,0.8438198430049351,0.06486548601852682,weighted_least_squares,4,sigma
1e-05,0.8436067672858477,0.06465241029943947,weighted_least_squares,4,sigma
1.333521432163324e-05,0.8433231495931938,0.06436879260678552,weighted_least_squares,4,sigma
1.778279410038923e-05,0.8429458704498607,0.06399151346345244,weighted_least_squares,4,sigma
2.3713737056616554e-05,0.8424444176270817,0.06349006064067342,weighted_least_squares,4,sigma
3.1622776601683795e-05,0.8417786689881385,0.06282431200173022,weighted_least_squares,4,sigma
4.216965034285822e-05,0.8408961304523251,0.061941773465916894,weighted_least_squares,4,sigma
5.623413251903491e-05,0.8397286004468474,0.06077424346043914,weighted_least_squares,4,sigma
7.498942093324559e-05,0.8381883438554197,0.05923398686901149,weighted_least_squares,4,sigma
0.0001,0.8361641036138222,0.05720974662741396,weighted_least_squares,4,sigma
0.0001333521432163324,0.8335177798726642,0.05456342288625593,weighted_least_squares,4,sigma
0.00017782794100389227,0.8300835879400947,0.05112923095368649,weighted_least_squares,4,sigma
0.00023713737056616554,0.8256733744224724,0.0467190174360641,weighted_least_squares,4,sigma
0.00031622776601683794,0.8200952403066082,0.04114088332019994,weighted_least_squares,4,sigma
0.00042169650342858224,0.8131988890730537,0.03424453208664546,weighted_least_squares,4,sigma
0.0005623413251903491,0.804971978894937,0.026017621908528743,weighted_least_squares,4,sigma
0.0007498942093324559,0.7957291476818605,0.01677479069545229,weighted_least_squares,4,sigma
0.001,0.7864586845044356,0.0075043275180273206,weighted_least_squares,4,sigma
0.001333521432163324,0.7794084589671729,0.00045410198076467623,weighted_least_squares,4,sigma
0.0017782794100389228,0.7789543569864082,0.0,weighted_least_squares,4,sigma
0.0023713737056616554,0.7925827159554153,0.013628358969007048,weighted_least_squares,4,sigma
0.0031622776601683794,0.8312815351940966,0.052327178207688396,weighted_least_squares,4,sigma
0.004216965034285823,0.907945112142853,0.12899075515644476,weighted_least_squares,4,sigma
0.005623413251903491,1.0327810617085613,0.2538267047221531,weighted_least_squares,4,sigma
0.007498942093324558,1.2079168582131556,0.4289625012267474,weighted_least_squares,4,sigma
0.01,1.4269257376976967,0.6479713807112885,weighted_least_squares,4,sigma
0.01333521432163324,1.6805028666155628,0.9015485096291546,weighted_least_squares,4,sigma
0.01778279410038923,1.9604949022367866,1.1815405452503782,weighted_least_squares,4,sigma
0.023713737056616554,2.2574897669539444,1.4785354099675363,weighted_least_squares,4,sigma
0.03162277660168379,2.556655638603927,1.777701281617519,weighted_least_squares,4,sigma
0.042169650342858224,2.838734859944608,2.0597805029582,weighted_least_squares,4,sigma
0.05623413251903491,3.0881578851949123,2.309203528208504,weighted_least_squares,4,sigma
0.07498942093324558,3.301033321886718,2.52207896490031,weighted_least_squares,4,sigma
0.1,3.4849509415602276,2.7059965845738194,weighted_least_squares,4,sigma
1e-06,0.24087614046376532,0.16188091749495903,weighted_least_squares,5,sigma
1.333521432163324e-06,0.24077868670339675,0.16178346373459046,weighted_least_squares,5,sigma
1.778279410038923e-06,0.2406487747589139,0.16165355179010765,weighted_least_squares,5,sigma
2.3713737056616552e-06,0.24047561387401695,0.16148039090521066,weighted_least_squares,5,sigma
3.162277660168379e-06,0.24024484147334743,0.16124961850454117,weighted_least_squares,5,sigma
4.216965034285822e-06,0.23993735290561066,0.1609421299368044,weighted_least_squares,5,sigma
5.623413251903491e-06,0.23952775716666513,0.16053253419785884,weighted_least_squares,5,sigma
7.498942093324558e-06,0.2389823473637896,0.1599871243949833,weighted_least_squares,5,sigma
1e-05,0.2382564454069155,0.15926122243810925,weighted_least_squares,5,sigma
1.333521432163324e-05,0.23729095422089286,0.15829573125208657,weighted_least_squares,5,sigma
1.778279410038923e-05,0.2360079240326424,0.15701270106383614,weighted_least_squares,5,sigma
2.3713737056616554e-05,0.2343049331394697,0.15530971017066342,weighted_least_squares,5,sigma
3.1622776601683795e-05,0.23204811607468678,0.1530528931058805,weighted_least_squares,5,sigma
4.216965034285822e-05,0.22906379570568536,0.15006857273687907,weighted_least_squares,5,sigma
5.623413251903491e-05,0.225128981010257,0.14613375804145073,weighted_least_squares,5,sigma
7.498942093324559e-05,0.21996164978722366,0.14096642681841737,weighted_least_squares,5,sigma
0.0001,0.21321306129000572,0.13421783832119943,weighted_least_squares,5,sigma
0.0001333521432163324,0.20446691184250157,0.1254716888736953,weighted_least_squares,5,sigma
0.00017782794100389227,0.1932549916841905,0.11425976871538422,weighted_least_squares,5,sigma
0.00023713737056616554,0.17910795827048245,0.10011273530167618,weighted_least_squares,5,sigma
0.00031622776601683794,0.16167607017232113,0.08268084720351486,weighted_least_squares,5,sigma
0.00042169650342858224,0.1409833739216739,0.061988150952867624,weighted_least_squares,5,sigma
0.0005623413251903491,0.11792730133218182,0.03893207836337555,weighted_least_squares,5,sigma
0.0007498942093324559,0.09521120853674768,0.016215985567941404,weighted_least_squares,5,sigma
0.001,0.07899522296880628,0.0,weighted_least_squares,5,sigma
0.001333521432163324,0.08161488541148879,0.0026196624426825105,weighted_least_squares,5,sigma
0.0017782794100389228,0.12555163928299407,0.04655641631418779,weighted_least_squares,5,sigma
0.0023713737056616554,0.2480248104501687,0.16902958748136243,weighted_least_squares,5,sigma
