D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
0.05011872336272725,1.0000000000010816,142.16181566795785,10953.572162926941,10952.411014001578,-1.1611489253632492,142.16181566795785,bayes_h1_marginal_boundary,measured_graph,2.2491630832167278e-32,0.06715925896838358,1,h1_z
0.06309573444801936,1.0000000000010179,148.5084765856118,10950.55622334221,10949.237683542751,-1.3185397994576809,148.5084765856118,bayes_h1_marginal_boundary,measured_graph,9.415882688757436e-34,0.06768934944751995,1,h1_z
0.07943282347242822,1.0000000000009501,153.6165975448348,10948.169553736692,10946.68362306314,-1.4859306735521132,153.6165975448348,bayes_h1_marginal_boundary,measured_graph,7.322285635705833e-35,0.06808857099772425,1,h1_z
0.1,1.0000000000008822,158.08926686751147,10946.110609949448,10944.447288401801,-1.663321547646544,158.08926686751147,bayes_h1_marginal_boundary,measured_graph,7.823820233717949e-36,0.06841926334522218,1,h1_z
1e-05,1.000000268080982,132.9797541818989,18320.80509307069,18318.43740648682,-2.3676865838692702,132.9797541818989,bayes_h1_marginal_boundary,measured_graph,1.8469366427990905e-30,0.059555827231336,2,h1_z
1.2589254117941661e-05,1.000001111421687,130.68257376091788,18321.741074155274,18319.58599669731,-2.155077457963703,130.68257376091788,bayes_h1_marginal_boundary,measured_graph,5.824764726627613e-30,0.05934538065557881,2,h1_z
1.584893192461114e-05,1.0000039509945167,127.38931133015285,18323.185096244753,18321.232627912694,-1.952468332058134,127.38931133015285,bayes_h1_marginal_boundary,measured_graph,3.022743101106296e-29,0.059026841068338866,2,h1_z
1.9952623149688786e-05,1.0000004570829442,122.61189300661499,18325.381196280614,18323.621337074463,-1.7598592061525666,122.61189300661499,bayes_h1_marginal_boundary,measured_graph,3.2946132937053336e-28,0.05855819224661915,2,h1_z
2.5118864315095822e-05,1.0000014037581701,115.72721544672095,18328.64092593466,18327.06367585441,-1.5772500802469966,115.72721544672095,bayes_h1_marginal_boundary,measured_graph,1.0298955542713643e-26,0.05789907666744909,2,h1_z
3.1622776601683795e-05,1.0000027692360043,106.08172602573904,18333.29106151924,18331.8864205649,-1.404640954341429,106.08172602573904,bayes_h1_marginal_boundary,measured_graph,1.2802199741651159e-24,0.057038713501942666,2,h1_z
3.9810717055349695e-05,1.0000029810754414,93.29957817686227,18339.519526317774,18338.27749448934,-1.2420318284358616,93.29957817686227,bayes_h1_marginal_boundary,measured_graph,7.636471541907317e-22,0.05603697444589473,2,h1_z
5.011872336272725e-05,1.0000015015141834,77.7782053594783,18347.127603600562,18346.03818089803,-1.089422702530293,77.7782053594783,bayes_h1_marginal_boundary,measured_graph,1.7919092887400733e-18,0.05504064659490239,2,h1_z
6.309573444801929e-05,1.0000062353032824,60.97257017799711,18355.387812065397,18354.44099848877,-0.9468135766247254,60.97257017799711,bayes_h1_marginal_boundary,measured_graph,7.991224522404732e-15,0.054216307071979615,2,h1_z
7.943282347242822e-05,1.0000009551072633,44.917555598163744,18363.282710229407,18362.46850577869,-0.8142044507191568,44.917555598163744,bayes_h1_marginal_boundary,measured_graph,2.448586508716532e-11,0.053646411509864926,2,h1_z
0.0001,1.0000000871277432,31.263793063146295,18369.98698237101,18369.295387046197,-0.6915953248135883,31.263793063146295,bayes_h1_marginal_boundary,measured_graph,2.258355540258983e-08,0.05330615690735514,2,h1_z
