u,v,Q_dc_nL_s,Q_h1_real_nL_s,Q_h1_imag_nL_s,amp_h1_nL_s,phase_h1_rad,Q_h2_real_nL_s,Q_h2_imag_nL_s,amp_h2_nL_s,phase_h2_rad,measured_mean_Q_nL_s,measured_amp_h1_nL_s,measured_phase_h1_rad
876,1466,0.02633217973463431,0.00033185450799224335,-0.001563351683886201,0.0015981851901405526,-1.3616298770008723,0.00011697130430322457,-0.0004602209818432351,0.0004748532806658799,-1.321903075859539,0.11171984010362747,0.039826623311086606,-2.0891182225621865
876,2777,-0.021118160262296105,0.00012876224869854807,0.0010141980688080062,0.00102233919980787,1.4445122820097318,1.856869597580601e-05,0.00024395676836694977,0.0002446624231513444,1.4948281078627883,0.10105513348255317,0.036946746015629056,-2.296341955423041
970,975,-0.004894343955493194,-0.00023370475423373875,0.0003863623984219218,0.000451546027627076,2.114799875604671,-7.45479861872956e-05,0.0001349378018013941,0.00015416099571413492,2.07552766051013,0.012521791601210388,0.49582438309403226,0.7162819746143004
970,1240,-0.0027343638928010116,-5.815168073830405e-05,0.00019645223501574632,0.00020487825315384663,1.8585878826474609,-1.1367329151406658e-05,6.596859847427322e-05,6.694081084582337e-05,1.741434861044825,0.0023904808963804195,,
970,1115,0.007628707848294191,0.00029185643497203864,-0.0005828146334376938,0.0006518075448962685,-1.1065324260585876,8.591531533870105e-05,-0.0002009064002756716,0.00021850588797896686,-1.1666929549552894,,,
975,980,-0.00489434395549318,-0.00012151853447512422,0.0003477373890650406,0.0003683585834139791,1.906985451076716,-2.988872296838578e-05,0.0001151612125183247,0.00011897663900687252,1.8247316895350945,0.019066338043546394,,
980,996,0.007475657005396093,0.00022639163671838382,-0.0005448926007072418,0.0005900517938973919,-1.1770172909000913,6.186439594198722e-05,-0.00018291690319593003,0.00019309530538067518,-1.244662868227091,0.007660155650599521,0.32670493612269125,-2.7538278607270117
980,984,-0.012370000960889256,-0.0003186302838658848,0.000879058152677147,0.0009350232583121195,1.9185348634441604,-8.135320961384376e-05,0.0002910586850971836,0.00030221433269283485,1.843348672164039,,,
984,997,0.02226063307099597,0.0007117384636921155,-0.0016358251075127741,0.0017839549946868031,-1.160406732513943,0.00019786994645407043,-0.0005511950617269121,0.0005856351353717357,-1.2261408911264182,-1.4161948471540309,0.6436675702832704,-1.5242671013836717
996,997,-0.008640538684828869,-0.0002938270635200177,0.0006431837718762091,0.0007071207164704651,1.9993173736527727,-8.356633912811668e-05,0.00021832388008530786,0.00023377050637490455,1.9363556277009464,0.01660698076946145,,
996,1029,0.016116195690224978,0.000562137755862085,-0.0012053703794412459,0.001330006243669553,-1.134420186173531,0.00016107214902563656,-0.00041013282206399273,0.0004406281526706068,-1.1965714104670382,0.024793041330146544,0.004067278313911563,-2.691385044825024
997,1002,0.013620094386167061,0.0005095800954940316,-0.0010334036852428807,0.001152213109800992,-1.1126771366878538,0.000147439770110147,-0.0003538686942309977,0.0003833556293663683,-1.1760184965897078,0.009034717491115719,0.018789986457639345,1.015049690981856
1002,1366,0.01997834804988951,0.0008245494227016306,-0.0015403401823776055,0.0017471489999209189,-1.0793064231039988,0.0002482651096167403,-0.0005315205145654854,0.0005866426698229259,-1.1338259317156403,0.010829892494524877,0.02247203776606521,0.8610176487715202
1029,1064,0.002459880962428561,0.00010846982386771086,-0.00019140679490596804,0.000220005144999083,-1.0552236971211184,3.338728350623368e-05,-6.623886789470554e-05,7.417747852210855e-05,-1.1039189996932188,0.0016400107154876495,0.010740565244996574,-2.362301681057302
1029,1240,0.013656314727796428,0.0005202925459678105,-0.0010366545223792053,0.0011598952246470043,-1.1056332319302016,0.00015422364364610082,-0.0003554145674643395,0.0003874331516859947,-1.161389582552258,0.022799417586212074,0.011464885611603193,nan
1064,1071,-0.0002346171543249579,1.246739785511881e-05,8.40778160159203e-06,1.503751311679862e-05,0.5933245937493642,4.76340923941254e-06,1.3381219976526664e-06,4.947791230713227e-06,0.2738587106141043,0.0020785840744205687,,
1064,1229,0.00269449811675353,0.00013821988379050635,-0.0002124438462266417,0.00025345043711666796,-0.9939864734388847,4.600904098307516e-05,-7.386954025031143e-05,8.702609280540331e-05,-1.013750446273618,0.004863873411805466,0.007923103145638356,0.6420128830179143
