edge_u,edge_v,flow_sign,geometry_source,length_m,radius_m,tile_id
16314,16341,-1.0,radius_adapted_m+length_true,3.339213035179131e-05,3.143663845958983e-06,3
16341,16345,-1.0,radius_adapted_m+length_true,3.392632314886602e-05,3.442018237703402e-06,3
16345,16367,-1.0,radius_adapted_m+length_true,5.693981326699903e-05,2.9182994825892598e-06,3
16345,16535,-1.0,radius_adapted_m+length_true,9.005036780121554e-05,2.0630330390231093e-06,3
16367,16549,-1.0,radius_adapted_m+length_true,8.659883806152706e-05,2.3682283013459326e-06,3
16378,16398,-1.0,radius_adapted_m+length_true,5.887043597977932e-05,2.6370304044504234e-06,3
16378,16383,1.0,radius_adapted_m+length_true,3.327529599346165e-05,2.718420174289122e-06,3
16383,17652,1.0,radius_adapted_m+length_true,8.370742041954017e-05,2.702391939914816e-06,3
16383,16592,-1.0,radius_adapted_m+length_true,8.647386593668742e-05,2.3036629497915873e-06,3
16398,16535,-1.0,radius_adapted_m+length_true,6.927508885406496e-05,2.2319153997484267e-06,3
16398,16592,-1.0,radius_adapted_m+length_true,3.501571099705256e-05,2.774977212265997e-06,3
16404,16413,-1.0,radius_adapted_m+length_true,5.16913250037445e-05,1.968543209600453e-06,3
16413,16414,1.0,radius_adapted_m+length_true,5.5129753753778665e-05,2.565594208200418e-06,3
16414,16458,-1.0,radius_adapted_m+length_true,4.813721056660027e-05,3.2560194635626474e-06,3
16414,16447,1.0,radius_adapted_m+length_true,4.052739064240297e-05,3.3725207031873397e-06,3
16452,16549,1.0,radius_adapted_m+length_true,5.0505235266330314e-05,3.000823235412305e-06,3
16452,16495,-1.0,radius_adapted_m+length_true,8.196651196447443e-05,1.1871875344617443e-06,3
16452,16521,-1.0,radius_adapted_m+length_true,7.24023655456497e-05,2.1622375547130695e-06,3
16458,16481,-1.0,radius_adapted_m+length_true,4.9092940630175716e-05,3.3024428738887513e-06,3
16458,16495,-1.0,radius_adapted_m+length_true,7.604161201564742e-05,2.365960919399054e-06,3
16481,18773,-1.0,radius_adapted_m+length_true,4.9793947929563467e-05,3.309817111122824e-06,3
16495,16521,-1.0,radius_adapted_m+length_true,4.321761848495941e-05,2.3586012415577758e-06,3
16520,16521,1.0,radius_adapted_m+length_true,5.227808273351148e-05,3.127358132033276e-06,3
16520,18821,-1.0,radius_adapted_m+length_true,0.00010108063137900758,2.576359056747965e-06,3
16535,16544,-1.0,radius_adapted_m+length_true,4.44132642648447e-05,2.9349344096837346e-06,3
16544,16549,-1.0,radius_adapted_m+length_true,4.355424322704309e-05,3.45548359895216e-06,3
16544,16600,-1.0,radius_adapted_m+length_true,4.8850627126597175e-05,2.8681209743251876e-06,3
16577,16600,1.0,radius_adapted_m+length_true,3.708230861361098e-05,2.2142505489825217e-06,3
16577,16587,1.0,radius_adapted_m+length_true,7.666188977861204e-05,1.7526792410139878e-06,3
